[00:05.223, 00:06.960] 啊係啊係咩有咩事呢
[00:11.317, 00:12.690] 嗯 有咩事呢
[00:18.337, 00:20.730] 哦冇問題嘅而家都可以傾嘅
[00:38.633, 00:42.710] 啊保險啊哦我而家冇有呢個需要喎
[00:53.040, 00:54.933] 嗯 咁啊
[01:16.607, 01:22.207] 嗯 啊黃生啊 不如禁啦你將嗰啲資料 S E N D 俾我
[01:23.227, 01:23.540] 好嘛
[01:44.810, 01:52.317] 嗯額 近排我真係好忙哦 你都係將嗰啲資料 S E N D 畀我啦好嗎
[02:11.343, 02:22.950] 阿黃生啊講真啊 我依家啊係度分期貸緊樓喔 係資金方面嗯都係唔係咁方便嘅
[02:44.776, 02:51.870] 最壞啦我而家真係出唔到聲都唔到生嘅遞日你先打電話過嚟啦好嗎
[03:04.423, 03:05.313] 阿黃生啊
[03:05.983, 03:08.427] 我點解我覺得你喺度嘥時間我嗻
[03:27.000, 03:32.213] 我覺得你呢喺度嘥我時間喎 我真係唔想買保險呢
[03:55.583, 03:57.507] 嗯噉啊
[03:58.160, 04:02.207] 我不如下個星期三過嚟我辦公室啦
[04:17.227, 04:18.617] 嗯好嘅
[04:22.377, 04:23.493] 唔係龍華呢邊
[04:25.890, 04:30.120] 誒你可以加我呢個號碼嘅微信我都可以 S E N D 畀你嘅
[04:43.487, 04:43.937] 嗯
[04:46.883, 04:50.883] 嗯到時我會畀時間畀你 啊再畀我睇嘅
[04:54.813, 04:57.953] 嗯嗯得得得 到時傾好嗎
[00:03.213, 00:04.877] 請問係李平李先生嗎
[00:07.666, 00:10.450] 啊你好係噉嘅我姓黃叫黃毛毛
[00:14.716, 00:17.847] 啊請問依家可以同你傾幾句啊或者等陣我再打俾你咁
[00:22.333, 00:38.167] 係咁嘅 我係冇冇保險公司嘅保險顧問我同好多人都傾過 运用滴保险来做完整葛家庭理财计划 我哩度份一份非常之有參考價值嘅理財計劃 啊我想同你傾下咁
[00:43.903, 00:52.720] 呢個唔係保險嚟 通常我都係同我啲客戶傾過 詳細過了解過之後 就有冇需求就知道嘎啦 咁係咪好啲呢
[00:57.190, 01:03.623] 誒 李生係 吖經過認真討論之後呢 你就會更加清楚你嘅情況
[01:05.660, 01:09.769] 咁對你 同你家人都好有意義嘅 所以我都希望
[01:10.969, 01:15.757] 啊同李生約一個方面嘅時間 一齊分析下 呢個美食計劃
[01:26.343, 01:37.353] 唉如果噉做 可以對你生日幫做個話我肯定好落去咁做啦 但係 理财計劃一個人有一千個唔同嘅计划
[01:38.687, 01:44.580] 所以 都係独家定制嘅所以我都係想同李生見個面傾啊
[01:54.880, 02:10.757] 啊我明嘅 李生今日係不過 里边唔会耽误你好多時間啊呢次 啊 討論嘅話大概都係十分鐘度囉 啊唔知道李生下個星期二上昼十點或者星期三下昼兩點半邊個時間比較方便啲呢
[02:25.387, 02:30.330] 啊 我都明你嘅你嘅諗法 即係唔 唔想有啲唔必要嘅開支
[02:31.313, 02:43.310] 但係我同你討論嘅保險計劃呢絕對唔係話想增加你個開支嘅誒 反而係可以保證你有能力嘅應付生活上各方面嘅必要開支
[02:53.914, 03:03.367] 啊李生啊你工作咁出色 我就當然知道你啊十分忙啊所以我宜家就事先打電話畀你同你約個時間
[03:11.140, 03:26.790] 李生 因為呢個你在嘅話對你嚟講呢係非常重要嘅獨一無二嘅我當然係唔介意用十分鐘時間同你傾下誒 唔知李生下個星期三上昼或者下昼邊個時間比較方便啲呢
[03:33.863, 03:35.577] 誒我意思係誒啊
[03:36.844, 03:49.473] 你嘅意思係即係 唔需要保險啦我知噉如果話你而家想買保險我先會覺得意外啦 我約你見面嘅目的呢其實只係想將嗰個誒獨一無二嘅理財計劃同你介紹一下
[03:50.523, 03:55.170] 到时你觉得哩份计划无乜用葛话 甘我就走甘你觉得点啊
[04:03.990, 04:10.842] 啊咁多謝曬話李生誒我再確認一下 我係某某保險公司嘅王某某
[04:12.009, 04:16.000] 我會係下個星期三下昼三點到你辦公室
[04:19.743, 04:22.240] 唉噉你個辦公室嘅具體位置喺邊度呢
[04:24.425, 04:25.880] 龍華都好大個嚄
[04:32.227, 04:42.379] 哦  咁啊咁都好咁我加你你幾多通過喎 跟住到時我會提前聯繫你跟住我帶上一啲資料
[04:43.946, 04:46.570] 跟住同你傾十分鐘左右啦就 O K 啦
[04:51.563, 04:55.410] 係啊到時真係希望你百忙之中抽出啲時間啦就十分鐘
[04:59.003, 05:01.660] 啊咁好啊唔該曬喎咁下周見啦
[00:01.747, 00:02.049] 啊
[00:02.654, 00:03.933] 有 有嗰啲小米
[00:04.617, 00:05.264] 電視機嗎
[00:08.010, 00:08.283] 嗯
[00:08.697, 00:08.997] 一路
[00:09.743, 00:11.190] I 六七五 M 五
[00:11.640, 00:12.214] B H 啊
[00:13.823, 00:14.133] 有嗎
[00:15.543, 00:16.444] 啊乜嘢顏色個呢
[00:20.063, 00:21.377] 唔要黑色個
[00:22.397, 00:22.558] 嗰啲
[00:23.203, 00:26.913] 嗰啲 贈品 嗰啲贈品 類型係乜 係點呀
[00:29.397, 00:31.507] 嗰啲 即係 講 啊
[00:32.410, 00:33.545] 你又冇超部
[00:38.077, 00:39.170] 嗰啲贈品類型
[00:43.220, 00:43.794] 唔在
[00:44.680, 00:44.982] 嗯
[00:45.580, 00:46.893] 啊嗰啲上次時間係
[00:47.483, 00:48.598] 係幾時上市呀
[00:52.110, 00:54.683] 嗰啲 屏幕 嗰啲屏幕 幾大啊
[00:56.993, 00:57.292] 嗯
[00:58.810, 01:00.197] 嗰啲 嗯 比例呢
[01:04.017, 01:04.997] 嗰啲亮度呢
[01:09.500, 01:10.246] 係係
[01:10.567, 01:11.346] 係知你我係嘛
[01:15.270, 01:16.982] 嗰啲 嗰啲 內存係幾多
[01:24.360, 01:24.695] 哦
[01:26.480, 01:28.633] 啊嗰啲 嗰啲好掂個嘛
[01:35.640, 01:36.699] 佢靚個嘛
[01:37.167, 01:38.180] 嗰啲 我認靚個麼
[01:48.683, 01:49.040] 嗯
[01:51.517, 01:53.546] 啊 佢啊 而家幾多錢呀
[01:58.313, 01:58.579] 啊
[01:58.933, 01:59.747] 可以平啲嗎
[02:06.813, 02:07.863] 可以再平啲嘛
[02:11.450, 02:12.561] 得 唔得呀
[02:14.246, 02:16.245] 可能也有兩個朋友要買啦
[02:17.160, 02:17.327] 一
[02:18.123, 02:19.700] 一次過平啲得冇囉
[02:28.690, 02:31.223] 誒 而家係都係九千九係咪新台啊
[02:33.757, 02:37.074] 嗯不過不過我個班長唔係幾多唔係咁多喎
[02:38.203, 02:39.231] 啊三千二文得嗎
[02:43.033, 02:44.831] 啊 假如買兩台呢
[02:49.270, 02:49.706] 唔
[02:51.237, 02:52.261] 都冇可以再減嘅
[03:01.467, 03:07.879] 啊 即係講三啊 要買三台嘅話 我唔可以一一次喎就係 三千文九千文得唔得
[03:13.243, 03:15.373] 啊 啊三台呢 一次過買三台呢
[03:19.477, 03:19.956] 嗯嗯
[03:20.917, 03:22.099] 嗰啲 啊
[03:23.407, 03:25.677] 嗰啲 全部係大屏嘛大屏幕係嘛
[03:29.777, 03:30.063] 嗯
[03:35.363, 03:36.523] 可以上課上門個嘛
[03:38.753, 03:39.107] 嗯
[03:40.547, 03:41.073] 嗯
[03:42.383, 03:44.758] 都係啊 地址唔同個喎
[03:49.903, 03:50.358] 嗯噉
[03:51.210, 03:52.858] 咁我點 咁 你去
[03:53.090, 03:54.360] 電話地址係邊度啊
[04:01.697, 04:04.937] 嗯 啊不過你有冇詳細啲啊
[04:12.153, 04:12.423] 咁
[04:15.760, 04:16.293] 咁我點
[04:16.827, 04:19.790] 噉我點買呢我可以掂你去搵你啊定係點呢
[04:34.693, 04:38.250] 聽日得唔得 聽日得 聽日過去睇下得唔得
[04:43.580, 04:47.487] 嗯 得我過去睇睇住 然後再講啦好嗎
[04:51.377, 04:51.630] 嗯
[04:53.817, 04:54.643] 唔 落定啦
[04:58.270, 04:58.910] 嗯 嗯
[05:01.160, 05:02.880] 嗯好 嗯好 拜拜
[00:00.550, 00:01.467] 喂你好 国米电器
[00:05.966, 00:07.470] 有啊 你要咩型号啊
[00:12.833, 00:13.713] 哦 O  K
[00:14.500, 00:15.097] 有有有
[00:17.200, 00:17.713] 有黑色
[00:18.350, 00:19.343] 白色你要边种啊
[00:21.933, 00:22.680] 嗯O K 要
[00:35.516, 00:36.133] 咩超薄啊
[00:40.783, 00:42.870] 距有滴超薄架 你要边种啊
[00:43.600, 00:44.380] 要几多英寸喔
[00:49.200, 00:50.247] 一九年九月份既
[00:55.333, 00:56.183] 六十五英寸啊
[01:01.550, 01:02.217] 十六比九
[01:06.566, 01:07.650] 亮度可以自己调既
[01:11.716, 01:14.487] 嗯 智能机黎既可以联联网络既
[01:18.383, 01:23.466] 距两个内存 一个运行内存是两猪 一个是存储内存32既
[01:29.816, 01:33.140] 好多鋪墊 嗯都好啊佢係一百一百九十瓦嘅
[01:39.333, 01:44.233] 肯定靓啊 距流线设计架 對邊方都係經過啲名師設計出嚟好光華嘅
